"country","humanDevelopmentIndex","pop2021"
"Austria","0.9080","9043.0700"
"Japan","0.9090","126050.8040"
"Liechtenstein","0.9160","38.2500"
"Belgium","0.9160","11632.3260"
"New Zealand","0.9170","4860.6430"
"Finland","0.9200","5548.3600"
"United Kingdom","0.9220","68207.1160"
"United States","0.9240","332915.0730"
"Canada","0.9260","38067.9030"
"Denmark","0.9290","5813.2980"
"Netherlands","0.9310","17173.0990"
"Singapore","0.9320","5896.6860"
"Hong Kong","0.9330","7552.8100"
"Sweden","0.9330","10160.1690"
"Iceland","0.9350","343.3530"
"Germany","0.9360","83900.4730"
"Ireland","0.9380","4982.9070"
"Australia","0.9390","25788.2150"
"Switzerland","0.9440","8715.4940"
"Norway","0.9530","5465.6300"
